lockitver|DO NOT DELETE THIS LINE! 2698
trp_temp_troop|Tropas Temporárias
trp_temp_troop_pl|Tropas temporários
trp_random_town_sequence|Série aleatória de municípios
trp_random_town_sequence_pl|série aleatória das cidades
trp_tournament_participants|Participantes do torneio
trp_tournament_participants_pl|Torneio
trp_tutorial_maceman |Homem com massa
trp_tutorial_maceman_pl|Homens com massas
trp_tutorial_archer|Arqueiro
trp_tutorial_archer_pl|Arqueiros
trp_tutorial_swordsman|Homem com espadaSwordsman
trp_tutorial_swordsman_pl|Homem com Espada
trp_novice_fighter|Lutador Iniciante
trp_novice_fighter_pl|Lutador Iniciante
trp_regular_fighter|Combatente Regular
trp_regular_fighter_pl|Assuntos regular
trp_veteran_fighter|Lutador veterano
trp_veteran_fighter_pl|Veteranos
trp_champion_fighter|Lutador Campeão
trp_champion_fighter_pl|Assuntos Campeões
trp_arena_training_fighter_1|Iniciante
trp_arena_training_fighter_1_pl|Iniciante Assuntos
trp_arena_training_fighter_2|Iniciante
trp_arena_training_fighter_2_pl|Iniciante Assuntos
trp_arena_training_fighter_3|Combatente Regular
trp_arena_training_fighter_3_pl|Assuntos regular
trp_arena_training_fighter_4|Combatente Regular
trp_arena_training_fighter_4_pl|Assuntos regular
trp_arena_training_fighter_5|Combatente Regular
trp_arena_training_fighter_5_pl|Assuntos regular
trp_arena_training_fighter_6|veterano lutador
trp_arena_training_fighter_6_pl|Veteranos
trp_arena_training_fighter_7|veterano lutador
trp_arena_training_fighter_7_pl|Veteranos
trp_arena_training_fighter_8|veterano lutador
trp_arena_training_fighter_8_pl|Veteranos
trp_arena_training_fighter_9|Lutador Campeão
trp_arena_training_fighter_9_pl|Assuntos de Campeão
trp_arena_training_fighter_10|Lutador Campeão
trp_arena_training_fighter_10_pl|Assuntos de Campeão
trp_cattle|Pecuária
trp_cattle_pl|Pecuária
trp_farmer|Agricultura
trp_farmer_pl|Agricultores
trp_townsman|Aldeão
trp_townsman_pl|habitantes da cidade
trp_watchman|Vigia
trp_watchman_pl|Vigias
